lat,long,site,Province,plate_n,plate_low,plate_partial,plate_complete,Morph,other,habitat,citation_num,citation,,,,notes,
44.65,-63.42,Rainbow Haven,,,,,,unk,W,,9,Haley et al. (2019) Ecol.Evol Res. 20:145-166.,,,,,
46.098,-60.744,Baddeck,,,,,,unk,W,,9,Haley et al. (2019) Ecol.Evol Res. 20:145-166.,,,,,
45.441,-75.583,Green's Cr.,,,,,,F(2),C,,10,McAllister et al. (1981). Can. J. Earth Sci. 18:1356-1364 & Dawson (1893). The Canadian ice age.,,,,,
45.468,-75.806,Pink Lake,,,,,,unk,C,,11,McAllister & Coad (1974). Fishes of Canada's National Capital Region,,,,,
45.605,-76.089,Lac Kidder,,,,,,unk,C,,11,McAllister & Coad (1974). Fishes of Canada's National Capital Region,,,,,
45.621,-76.085,Lac Richard,,,,,,unk,C,,11,McAllister & Coad (1974). Fishes of Canada's National Capital Region,,,,,
45.809,-75.717,Stream north of Poltimore,,,,,,unk,C,,11,McAllister & Coad (1974). Fishes of Canada's National Capital Region,,,,,
49.524,-57.882,Bonne Bay,,,,,,unk,W,,12,Walsh (2021). iNaturalist.,,,,,
46.866,-71.393,Nelson R.,,,,,,UC,C,,13,Morissette (2021). iNaturalist,,,,,
46.749,-71.259,Levis,,,,,,unk,C,,14,McCairns & Bernatchez (2008). Mol. Ecol. 17:3901-3916,,,,,
46.746,-71.34,Cap-Rouge,,,,,,unk,C,,14,McCairns & Bernatchez (2008). Mol. Ecol. 17:3901-3916,,,,,
46.629,-71.771,PP,,,,,,unk,C,,14,McCairns & Bernatchez (2008). Mol. Ecol. 17:3901-3916,,,,,
46.687,-71.884,Portneuf,,,,,,unk,C,,14,McCairns & Bernatchez (2008). Mol. Ecol. 17:3901-3916,,,,,
66.077,-70.984,Tundra Point,,,,,,unk,C,,15,Oliver (1964). Arctic. 17(2):69-83.,,,,,
52.913,-83.974,Cochrane Distict (Attawapiskat R.),,,,,,L,C,,16,"Schroeder (2012) MS Thesis, Univ. of Manitoba.",,,,,
54.339,-85.009,Kenora District (Spruce L.),,,,,,L,C,,16,"Schroeder (2012) MS Thesis, Univ. of Manitoba.",,,,,
54.489,-84.662,Kenora District (Hawley L.),,,,,,L,C,,16,"Schroeder (2012) MS Thesis, Univ. of Manitoba.",,,,,
